Family,Genus,Subgenus,Species,Author,Date,Parentheses (1=author & date in parentheses),Citation,Pages,Common Name,Column1
Vespertilionidae,Alionoctula,,adamsi,"Kitchener, Caputi & Jones",1986,1,Rec. West. Aust. Mus.,0.821527778,Adams' Pipistrelle,
Vespertilionidae,Alionoctula,,westralis,Koopman,1984,1,Amer. Mus. Novit.,2778:13:00,Koopman's Pipistrelle,
Molossidae,Austronomus,,australis,Gray,1838,1,Mag. Zool. Bot.,0.43125,White-striped Free-tailed Bat,
Vespertilionidae,Chalinolobus,,dwyeri,Ryan,1966,0,J. Mammal.,47: 89,Large-eared Pied Bat,
Vespertilionidae,Chalinolobus,,gouldii,Gray,1841,1,Appendix C in J. Two Exped. Aust.,"2:401, 405",Gould's Wattled Bat,
Vespertilionidae,Chalinolobus,,morio,Gray,1841,1,Appendix C in J. Two Exped. Aust.,"2: 400, 405",Chocolate Wattled Bat,
Vespertilionidae,Chalinolobus,,nigrogriseus,Gould,1852,1,Mamm. Aust.,"pt. 4, vol. 3, pl. 43",Hoary Wattled Bat,
Vespertilionidae,Chalinolobus,,picatus,Gould,1852,1,Mamm. Aust.,"pt. 4, vol. 3, pl. 43",Little Pied Bat,
Pteropodidae,Dobsonia,,magna,Thomas,1905,0,Ann. Mag. Nat. Hist.,"ser. 7, 16: 423",New Guinea Naked-backed Fruit Bat,
Pteropodidae,Dobsonia,,moluccensis,Quoy & Gaimard,1830,1,"In d'Urville, Voy...de Astrolabe, Zool.","1(L&apos;Homme, Mamm. Oiseaux): 86",Moluccan Naked-backed Fruit Bat,
Vespertilionidae,Falsistrellus,,mackenziei,"Kitchener, Caputi & Jones",1986,0,Rec. West. Aust. Mus.,12(4): 451,Mackenzie's False Pipistrelle,
Vespertilionidae,Falsistrellus,,tasmaniensis,Gould,1858,1,Mamm. Aust.,3: pl. 48,Eastern False Pipistrelle,
Hipposideridae,Hipposideros,,ater,Templeton,1848,0,J. Asiat. Soc. Bengal,0.883333333,Dusky Roundleaf Bat,
Hipposideridae,Hipposideros,,cervinus,Gould,1854,1,Mamm. Austr.,3: pl. 34,Fawn-colored Roundleaf Bat,
Hipposideridae,Hipposideros,,diadema,É. Geoffroy Saint-Hilaire,1813,1,Ann. Mus. Natn. Hist. Nat. Paris,1.015972222,Diadem Roundleaf Bat,
Hipposideridae,Hipposideros,,inornatus,McKean,1970,0,West. Aust. Nat.,11(6): 138,McKean's Roundleaf Bat,
Hipposideridae,Hipposideros,,semoni,Matschie,1903,0,Denks. Med. Nat. Ges. Jena (Semon Zool. Forsch. Austr.),8: 774 (Heft 6:132),Semon's Roundleaf Bat,
Hipposideridae,Hipposideros,,stenotis,Thomas,1913,0,Ann. Mag. Nat. Hist.,"ser. 8, 12: 206",Narrow-eared Roundleaf Bat,
Megadermatidae,Macroderma,,gigas,Dobson,1880,1,Proc. Zool. Soc. Lond.,1880: 461,Australian False Vampire Bat,
Pteropodidae,Macroglossus,,minimus,É. Geoffroy Saint-Hilaire,1810,1,Ann. Mus. Natn. Hist. Nat. Paris,0.692361111,Dagger-toothed Long-nosed Fruit Bat,
Hipposideridae,Macronycteris,,cryptovalorona,"Goodman, Schoeman, Rakotoarivelo & Willows-Munro",2016,1,Zool. J. Linn. Soc.,177: 443,Cryptic Roundleaf Bat,
Molossidae,Micronomus,,norfolkensis,Gray,1839,1,Ann. Nat. Hist.,4:07,Eastern Little Mastiff Bat,
Miniopteridae,Miniopterus,,australis,Tomes,1858,0,Proc. Zool. Soc. Lond.,1858: 125,Little Long-fingered Bat,
Miniopteridae,Miniopterus,,orianae,Thomas,1922,0,Ann. Mag. Nat. Hist.,"ser. 9, 10: 616",Oriana's Long-fingered Bat,
Molossidae,Mops,Unassigned - Mops,jobensis,Miller,1902,1,Proc. Biol. Soc. Wash.,0.795833333,Jobie Island Free-tailed Bat,
Vespertilionidae,Murina,Murina,florium,Thomas,1908,0,Ann. Mag. Nat. Hist.,"ser. 8, 2: 371",Flores Tube-nosed Bat,
Vespertilionidae,Myotis,Myotis,adversus,Horsfield,1824,1,Zool. Res. Java,part 8: p. 3(unno.) of <i>Vespertilio Temminckii</i> acct,Large-footed Myotis,
Vespertilionidae,Myotis,Myotis,australis,Dobson,1878,1,Cat. Chiroptera Brit. Mus.,p. 317,Australian Myotis,
Vespertilionidae,Myotis,Myotis,macropus,Gould,1854,1,Mammals of Australia,unnumbered page of text,Gould's Large-footed Myotis,
Pteropodidae,Nyctimene,,robinsoni,Thomas,1904,0,Ann. Mag. Nat. Hist.,"ser. 7, 14: 196",Queensland Tube-nosed Fruit Bat,
Vespertilionidae,Nyctophilus,,arnhemensis,Johnson,1959,0,Proc. Biol. Soc. Wash.,72: 184,Northern Long-eared Bat,
Vespertilionidae,Nyctophilus,,bifax,Thomas,1915,0,Ann. Mag. Nat. Hist.,"ser. 8, 15: 496",Bifax Long-eared Bat,
Vespertilionidae,Nyctophilus,,corbeni,Parnaby,2009,0,Australian Zool.,35(1): 46,Corben's Long-eared Bat,
Vespertilionidae,Nyctophilus,,daedalus,Thomas,1915,0,Ann. Mag. Nat. Hist.,"ser. 8, 15: 498",Artful Long-Eared Bat,
Vespertilionidae,Nyctophilus,,geoffroyi,Leach,1821,0,Trans. Linn. Soc. Lond.,0.595833333,Lesser Long-eared Bat,
Vespertilionidae,Nyctophilus,,gouldi,Tomes,1858,0,Proc. Zool. Soc. Lond.,1858:31:00,Gould's Long-eared Bat,
Vespertilionidae,Nyctophilus,,holtorum,"Parnaby, King & Eldridge",2021,0,Rec. Aust. Mus.,73(1): 60,Holt's Long-eared Bat,
Vespertilionidae,Nyctophilus,,howensis,McKean,1975,0,Aust. Mammalogy,0.270833333,Lord Howe Island Long-eared Bat,
Vespertilionidae,Nyctophilus,,major,Gray ,1844,0,"Zool. Voy. H.M.S. ""Erebus"" and ""Terror,""","12b, plate 21, fig. 2",Greater Long-eared Bat,
Vespertilionidae,Nyctophilus,,sherrini,Thomas ,1915,0,Ann. Mag. Nat. Hist.,"ser. 8, 15: 495",Tasmanian Long-eared Bat,
Vespertilionidae,Nyctophilus,,walkeri,Thomas,1892,0,Ann. Mag. Nat. Hist.,"ser. 6, 9: 406",Pygmy Long-eared Bat,
Molossidae,Ozimops,,cobourgianus,Johnson,1959,1,Proc. Biol. Soc. Wash.,72: 185,Northwestern Free-tailed Bat,
