Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Furipteridae,Amorphochilus,,schnablii,Peters,1877,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1877: 185","Smoky Bat"
Molossidae,Eumops,,perotis,Schinz,1821,1,"In Cuvier, Das Thierreich","1: 870","Greater Bonneted Bat"
Molossidae,Mormopterus,Mormopterus,kalinowskii,Thomas,1893,1,"Proc. Zool. Soc. Lond.","1893: 334","Kalinowski's Mastiff Bat"
Molossidae,Nyctinomops,,aurispinosus,Peale,1849,1,"Mammalia, in Repts. U.S. Expl. Surv.","8: 21","Peale's Free-tailed Bat"
Molossidae,Promops,,davisoni,Thomas,1921,0,"Ann. Mag. Nat. Hist.","ser. 9, 8: 139","Davison's Crested Mastiff Bat"
Molossidae,Tadarida,,brasiliensis,"I. Geoffroy Saint-Hilaire",1824,1,"Ann. Sci. Nat. Zool.","1: 343","Brazilian Free-tailed Bat; Mexican Free-tailed Bat"
Phyllostomidae,Desmodus,,rotundus,"É. Geoffroy Saint-Hilaire",1810,1,"Ann. Mus. Natn. Hist. Nat. Paris","15: 181","Common Vampire Bat"
Phyllostomidae,Platalina,,genovensium,Thomas,1928,0,"Ann. Mag. Nat. Hist.","ser. 10, 8: 121","Long-snouted Bat"
Vespertilionidae,Histiotus,,macrotus,Poeppig,1835,1,"Reise Chile Peru Amaz.","1: 451","Big-eared Brown Bat"
Vespertilionidae,Histiotus,,magellanicus,Philippi,1866,1,"Arch. Naturg.","32(1): 113","Southern Big-eared Brown Bat"
Vespertilionidae,Histiotus,,montanus,"Philippi & Landbeck",1861,1,"Arch. Naturgesch.","p. 289","Small Big-eared Brown Bat"
Vespertilionidae,Lasiurus,Aeorestes,cinereus,"Palisot de Beauvois",1796,1,"Cat. Raisonne Mus. Peale Phil.","p. 18","Hoary Bat"
Vespertilionidae,Lasiurus,Lasiurus,varius,Poeppig,1835,1,"Reis. Chilie, Peru, und Amaz.","1: 451, footnote","Cinnamon Red Bat"
Vespertilionidae,Lasiurus,Aeorestes,villosissimus,"É. Geoffroy Saint-Hilaire",1806,0,"Ann. Mus. Hist. Nat. Paris","8(1806): 204","Hairy Hoary Bat"
Vespertilionidae,Myotis,Pizonyx,arescens,Osgood,1943,0,"Publ. Field Mus. Nat. Hist., Zool.","30: 30, 42, 55","Valparaíso Myotis"
Vespertilionidae,Myotis,Pizonyx,atacamensis,Lataste,1892,1,"Actes Soc. Sci. Chile","1: 80","Atacaman Myotis"
Vespertilionidae,Myotis,Pizonyx,chiloensis,Waterhouse,1840,1,"Zool. Voy. H.M.S. ""Beagle"", Mammalia","p. 5","Chilean Myotis"
