Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Emballonuridae,Balantiopteryx,,infusca,Thomas,1897,1,"Ann. Mag. Nat. Hist.","ser. 6, 20: 546","Ecuadorian Sac-winged Bat"
Emballonuridae,Centronycteris,,centralis,Thomas,1912,0,"Ann. Mag. Nat. Hist.","ser. 8, 10: 638","Thomas's Shaggy Bat"
Emballonuridae,Centronycteris,,maximiliani,"J. Fischer",1829,1,"Synopsis Mamm.","p. 112","Shaggy Bat"
Emballonuridae,Cormura,,brevirostris,Wagner,1843,1,"Arch. Naturgesch.","ser. 9, 1: 367","Chestnut Sac-winged Bat"
Emballonuridae,Cyttarops,,alecto,Thomas,1913,0,"Ann. Mag. Nat. Hist.","ser. 8, 11: 135","Short-eared Bat"
Emballonuridae,Diclidurus,Diclidurus,albus,Wied-Neuwied,1820,0,"Isis von Oken","1819 (4): 1630","Northern Ghost Bat"
Emballonuridae,Diclidurus,Diclidurus,ingens,Hernandez-Camacho,1955,0,Caldasia,"7: 87","Greater Ghost Bat"
Emballonuridae,Diclidurus,Diclidurus,scutatus,Peters,1869,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1869: 400","Lesser Ghost Bat"
Emballonuridae,Peropteryx,,kappleri,Peters,1867,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1867: 473","Greater Dog-like Bat"
Emballonuridae,Peropteryx,,leucoptera,Peters,1867,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1867: 474","White-winged Dog-like Bat"
Emballonuridae,Peropteryx,,macrotis,Wagner,1843,1,"Arch. Naturgesch.","ser. 9, 1: 367","Lesser Dog-like Bat"
Emballonuridae,Peropteryx,,pallidoptera,"Lim, Engstrom, Reid, Simmons, Voss & Fleck",2010,0,"Am. Mus. Novitates","3686: 3","Pale-winged Doglike Bat"
Emballonuridae,Rhynchonycteris,,naso,Wied-Neuwied,1820,1,"Reise nach Brasilien","1: 248 [footnote]","Proboscis Bat"
Emballonuridae,Saccopteryx,,antioquensis,"Mu&ntilde;oz & Cuartas",2001,0,"Actual. Biol.","23: 53","Antioquian Sac-winged Bat"
Emballonuridae,Saccopteryx,,bilineata,Temminck,1838,1,"Tijdschr. Nat. Gesch. Physiol.","5: 33","Greater Sac-winged Bat"
Emballonuridae,Saccopteryx,,canescens,Thomas,1901,0,"Ann. Mag. Nat. Hist.","ser. 7, 7: 366","Frosted Sac-winged Bat"
Emballonuridae,Saccopteryx,,leptura,Schreber,1774,1,"Die S&auml;ugethiere","pl. LVII, 173","Lesser Sac-winged Bat"
Furipteridae,Furipterus,,horrens,"F. Cuvier",1828,1,"Mem. Mus. Natn. Hist. Nat. Paris",16:150,"Thumbless Bat"
Molossidae,Cynomops,,abrasus,Temminck,1827,1,"Monogr. Mamm.","1: 232","Cinnamon Dog-faced Bat"
Molossidae,Cynomops,,kuizha,"Arenas-Viveros, Sánchez-Vendizú, Giraldo & Salazar-Bravo",2021,0,Mammalia,"85(3): 277","Awa Dog-faced Bat"
Molossidae,Cynomops,,planirostris,Peters,1866,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1865: 575 [footnote]","Southern Dog-faced Bat"
Molossidae,Cynomops,,tonkigui,"Moras, Gregorin, Sattler & Tavares",2018,0,"Mamm. Biol.","89(2018): 46","Waorani Dog-faced Bat"
Molossidae,Eumops,,auripendulus,Shaw,1800,1,"Gen. Zool. Syst. Nat. Hist.","1(1): 137","Black Bonneted Bat"
Molossidae,Eumops,,dabbenei,Thomas,1914,0,"Ann. Mag. Nat. Hist.","ser. 8, 13: 480","Big Bonneted Bat"
Molossidae,Eumops,,delticus,Thomas,1923,0,"Ann. Mag. Nat. Hist.","ser. 9, 12: 341","Maraj&oacute; Island Bonneted Bat "
Molossidae,Eumops,,glaucinus,Wagner,1843,1,"Arch. Naturgesch.","9(1): 368","Wagner's Bonneted Bat"
Molossidae,Eumops,,hansae,Sanborn,1932,0,"J. Mammal.","13: 356","Sanborn's Bonneted Bat"
Molossidae,Eumops,,nanus,Miller,1900,1,"Ann. Mag. Nat. Hist.","ser. 7, 6: 470","Dwarf Bonneted Bat"
Molossidae,Eumops,,perotis,Schinz,1821,1,"In Cuvier, Das Thierreich","1: 870","Greater Bonneted Bat"
Molossidae,Eumops,,trumbulli,Thomas,1901,1,"Ann. Mag. Nat. Hist.","ser. 7, 7 (38): 190","Trumbull's Bonneted Bat"
Molossidae,Molossops,Molossops,neglectus,"Williams & Genoways",1980,0,"Ann. Carnegie Mus.","49(25): 489","Rufous Dog-faced Bat"
Molossidae,Molossops,Molossops,temminckii,Burmeister,1854,1,"Syst. Uebers. Thiere Bras.","p. 72","Dwarf Dog-faced Bat"
Molossidae,Molossus,,alvarezi,"Gonzalez-Ruiz, Ramirez-Pulido & Arroyo-Cabrales",2011,0,"Mamm. Biol.","76(4): 464","Alvarez's Mastiff Bat"
Molossidae,Molossus,,bondae,"J.A. Allen",1904,0,"Bull. Am. Mus. Nat. Hist.","20(20): 228","Bonda Mastiff Bat"
Molossidae,Molossus,,coibensis,"J. A. Allen",1904,0,"Bull. Amer. Mus. Nat. Hist.","20 (20): 227","Coiban Mastiff Bat"
Molossidae,Molossus,,molossus,Pallas,1766,1,"Misc. Zool.","p. 49-50","Pallas's Mastiff Bat"
Molossidae,Molossus,,pretiosus,Miller,1902,0,"Proc. Acad. Nat. Sci. Phil.","54: 396","Miller's Mastiff Bat"
Molossidae,Neoplatymops,Neoplatymops,mattogrossensis,Vieira,1942,1,"Argent. Zool. Sao Paulo","3: 430","Mato Grosso Dog-faced Bat"
Molossidae,Nyctinomops,,aurispinosus,Peale,1849,1,"Mammalia, in Repts. U.S. Expl. Surv.","8: 21","Peale's Free-tailed Bat"
Molossidae,Nyctinomops,,laticaudatus,"É. Geoffroy Saint-Hilaire",1805,1,"Ann. Mus. Natn. Hist. Nat. Paris","6: 156","Broad-eared Free-tailed Bat"
Molossidae,Nyctinomops,,macrotis,Gray,1839,1,"Ann. Nat. Hist.","4: 5","Big Free-tailed Bat"
Molossidae,Promops,,centralis,Thomas,1915,0,"Ann. Mag. Nat. Hist.","ser. 8, 16: 62","Big Crested Mastiff Bat"
Molossidae,Tadarida,,brasiliensis,"I. Geoffroy Saint-Hilaire",1824,1,"Ann. Sci. Nat. Zool.","1: 343","Brazilian Free-tailed Bat; Mexican Free-tailed Bat"
Mormoopidae,Mormoops,,megalophylla,Peters,1864,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1864: 381","Peters's Ghost-faced Bat"
Mormoopidae,Pteronotus,Pteronotus,davyi,Gray,1838,0,"Mag. Zool. Bot.","2: 500","Davy's Naked-backed Bat"
Mormoopidae,Pteronotus,Phyllodia,fuscus,"J.A. Allen",1911,1,"Bull. Am. Mus. Nat. Hist.","30(10): 262","Dusky Mustached Bat"
Mormoopidae,Pteronotus,Pteronotus,gymnonotus,"J.A. Wagner",1843,1,"Arch. Naturgesch.","9(1): 367","Big Naked-backed Bat"
Mormoopidae,Pteronotus,"Unnamed - Pteronotus",personatus,"J.A. Wagner",1843,1,"Arch. Naturgesch.","9(1): 367","Wagner's Mustached Bat"
