Country,Bat richness_all species,Bat richness_extant,Bat richness_insectivores,Notes
Australia,83,81,,
Chile,17,17,,
Colombia,202,202,,
Peru,178,178,,
Eswatini,32,32,,
Ghana,91,91,,
Israel,30,30,,
Italy,36,36,,
Madagascar,48,47,,
Mexico,144,144,,
South Africa,60,60,,
Spain,35,35,,
USA,46,46,,
Sri Lanka,33,33,,
Germany,27,27,,
Zambia,76,76,,
Cameroon,100,100,,
India,136,136,,
UK,18,18,,
France,35,35,,
Portugal,29,29,,
China,147,147,,
New Zealand,2,2,,"1 species extinct (3 in dataset from batnames.org, richness corrected to 2 species manually)"
Taiwan,34,34,,
Hungary,29,29,,
Fiji,6,6,,
Indonesia,233,232,,
