Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Emballonuridae,Coleura,,afra,Peters,1852,1,"Reise nach Mossambique, S&auml;ugethiere","p. 51","African Sheath-tailed Bat"
Emballonuridae,Coleura,,kibomalandy,"Goodman, Puechmaille, Friedli-Weyeneth, Gerlach,
Ruedi, Schoeman, Stanley & Teeling",2012,0,"J. Mamm.","93(6): 1446","Madagascar Sheath-tailed bat"
Emballonuridae,Paremballonura,,atrata,Peters,1874,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1874: 693","Peters's Sheath-tailed Bat"
Emballonuridae,Paremballonura,,tiavato,"Goodman, Cardiff, Ranivo, Russell & Yoder",2006,1,"Am. Mus. Novitates","3538: 6","Rock-loving Sheath-tailed Bat"
Emballonuridae,Taphozous,,mauritianus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 127","Mauritian Tomb Bat"
Hipposideridae,Macronycteris,,commersonii,"É. Geoffroy Saint-Hilaire",1813,1,"Ann. Mus. Natn. Hist. Nat. Paris","20: 263","Commerson's Roundleaf Bat"
Miniopteridae,Miniopterus,,aelleni,"Goodman, Maminirina, Weyeneth, Bradman, Christidis, Ruedi & Appleton",2009,0,"Zoologica Scripta","38(4): 353","Aellen&#39;s Long-fingered Bat"
Miniopteridae,Miniopterus,,ambohitrensis,"Goodman, Ramasindrazana, Naughton & Appleton",2015,0,Zootaxa,"3936(4): 543","Ambohitra Long-fingered Bat"
Miniopteridae,Miniopterus,,brachytragos,"Goodman, Maminirina, Bradman, Christidis & Appleton",2009,0,"Am. Mus. Novitates","3669: 9","Broad-tragused Long-fingered Bat"
Miniopteridae,Miniopterus,,egeri,"Goodman, Ramasindrazana, Maminirina, Schoeman & Appleton",2011,0,Zootaxa,"2880: 9","Eger&#39;s Long-fingered Bat"
Miniopteridae,Miniopterus,,gleni,"Peterson, Eger & Mitchell",1995,0,"Faune de Madagascar, Chiropt&egrave;res","84: 128","Glen's Long-fingered Bat"
Miniopteridae,Miniopterus,,griffithsi,"Goodman, Maminirina, Bradman, Christidis & Appleton",2010,0,"J. Zool. Syst. Evol. Res.","48(1): 81","Griffiths&#39; Long-fingered Bat"
Miniopteridae,Miniopterus,,mahafaliensis,"Goodman, Maminirina, Bradman, Christidis & Appleton",2009,0,"Am. Mus. Novitates","3669: 17","Mahafaly Long-fingered Bat"
Miniopteridae,Miniopterus,,majori,Thomas,1906,0,"Ann. Mag. Nat. Hist.","ser. 7, 17: 175","Major's Long-fingered Bat"
Miniopteridae,Miniopterus,,manavi,Thomas,1906,0,"Ann. Mag. Nat. Hist.","ser. 7, 17: 176","Manavi Long-fingered Bat"
Miniopteridae,Miniopterus,,petersoni,"Goodman, Bradman, Maminirina, Ryan, Christidis & Appleton",2008,0,"Mamm. Biol.","73(3): 201","Peterson's Long-fingered Bat"
Miniopteridae,Miniopterus,,sororculus,"Goodman, Ryan, Maminirina, Fahr, Christidis & Appleton",2007,0,"J. Mammal.","88(5): 1219","Malagasy Long-fingered Bat"
Molossidae,Mops,"Unassigned - Mops",atsinanana,"Goodman, Buccas, Naidoo, Ratrimomanirivo, Taylor & Lamb",2010,1,Zootaxa,"2551: 21","Eastern Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",jobimena,"Goodman & Cardiff",2004,1,"Acta Chiropterol.","6(2): 230","Bicolored Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",leucogaster,"A. Grandidier",1869,1,"Rev. Mag. Zool.","ser. 2, 21: 337","Grandidier's Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",leucostigma,"G. M. Allen",1918,1,"Bull. Mus. Comp. Zool. Harvard","61(4): 513","Malagasy White-bellied Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",midas,Sundevall,1843,1,"Kongl. Svenska Vet.-Akad. Handl. Stockholm","1842: 207","Midas' Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",pumilus,Cretzschmar,1826,1,"In R&uuml;ppell, Atlas Reise N&ouml;rdl. Afr., Zool. S&auml;ugeth.","1: 69","Little Free-tailed Bat"
Molossidae,Mormopterus,Mormopterus,jugularis,Peters,1865,1,"In Sclater, Proc. Zool. Soc. Lond.","1865: 468","Peters' Wrinkle-lipped Bat"
Molossidae,Otomops,,madagascariensis,Dorst,1953,0,"M&eacute;m. Inst. Scient. Madagascar (A)","8: 236","Malagasy Giant Mastiff Bat"
Molossidae,Tadarida,,fulminans,Thomas,1903,1,"Ann. Mag. Nat. Hist.","ser. 7, 12: 501","Malagasy Free-tailed Bat"
Myzopodidae,Myzopoda,,aurita,"Milne-Edwards & Grandidier",1878,0,"Bull. Sci. Soc. Philom. Paris","sér. 7, 2:220","Sucker-footed Bat"
Myzopodidae,Myzopoda,,schliemanni,"Goodman, Rakotondraparany & Kofoky",2007,0,"Mamm. Biol.",72(2):69,"Schliemann's Sucker-footed Bat"
Pteropodidae,Eidolon,,dupreanum,"Pollen <i>in</i> Schlegel",1867,1,"Proc. Zool. Soc. Lond.","1866: 419","Malagasy Straw-colored Fruit Bat"
Pteropodidae,Pteropus,,rufus,"É. Geoffroy Saint-Hilaire",1803,0,"Cat. Mamm. Mus. Nat. Hist. Nat. Paris","p. 47","Malagasy Flying Fox"
Pteropodidae,Rousettus,Rousettus,madagascariensis,"G. Grandidier",1929,0,"Bull. Acad. Malgache, N.S.","11: 91","Malagasy Rousette"
Rhinonycteridae,Paratriaenops,,auritus,Grandidier,1912,1,"Bull. Mus. Natl. Hist. Nat. Paris","18: 8","Grandidier's Trident Bat"
Rhinonycteridae,Paratriaenops,,furcula,Trouessart,1907,1,"Bull. Mus. Natn. Hist. Nat. Paris","1906(7): 446","Trouessart's Trident Bat"
Rhinonycteridae,Triaenops,,menamena,"Goodman & Ranivo",2009,0,Mammalia,"73(1): 48, 54, fig. 1","Red Madagascan Trident Bat"
Vespertilionidae,Afronycteris,,nanus,Peters,1852,1,"Reise nach Mossambique, S&auml;ugethier","p. 63","Banana Serotine"
Vespertilionidae,Laephotis,,malagasyensis,"Peterson, Eger & Mitchell",1995,1,"Faune de Madagascar","84: 100","Isalo Serotine"
Vespertilionidae,Laephotis,,matroka,"Thomas & Schwann",1905,1,"Proc. Zool. Soc. Lond.","1: 258","Malagasy Serotine"
Vespertilionidae,Laephotis,,robertsi,"Goodman, Taylor, Ratrimomanarivo & Hoofer",2012,1,Zootaxa,"3250: 11","Robert&apos;s Serotine"
Vespertilionidae,Myotis,Chrysopteron,goudotii,"A. Smith",1834,1,"S. Afr. Quart. J.","2: 244","Malagasy Myotis"
Vespertilionidae,Neoromicia,,anchietae,Seabra,1900,1,"J. Sci. Math. Phys. Nat. Lisboa, ser. 2","6: 26","Anchieta's Serotine"
Vespertilionidae,Neoromicia,,bemainty,"Goodman, Rakotondramanana, Ramasindrazana, Kearney, Mondadjem, Schoeman, Taylor, Naughton & Appleton",2015,1,"Zool. J. Linn. Soc.","2015(173): 1008","Dark Madagascar Serotine"
Vespertilionidae,Pipistrellus,Pipistrellus,hesperidus,Temminck,1840,1,"Monograph. Mammal... Mus&eacute;es de l'Europe","2: 211","Dusky Pipistrelle"
Vespertilionidae,Pipistrellus,Pipistrellus,kuhlii,Kuhl,1817,1,"Die Deutschen Flederm&auml;use, Hanau","p. 6, 55","Kuhl's Pipistrelle"
Vespertilionidae,Pipistrellus,Pipistrellus,raceyi,"Bates, Ratrimomanarivo, Harrison,
& Goodman",2006,0,"Acta Chiropterol.","8(2): 301","Racey&apos;s Pipistelle"
Vespertilionidae,Scotophilus,,borbonicus,"É. Geoffroy Saint-Hilaire",1803,1,"Cat. Mamm. Mus. Nat. d'Hist. Nat.","p. 55","R&eacute;union House Bat"
Vespertilionidae,Scotophilus,,marovaza,"Goodman, Ratrimomanarivo & Randrianandrianina",2006,0,"Acta Chiropterol.","8(1): 23","Marovaza House Bat"
