Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Miniopteridae,Miniopterus,,schreibersii,Kuhl,1817,1,"Die Deutschen Flederm&auml;use, Hanau","p. 6, 41","Schreiber's Long-fingered Bat"
Molossidae,Tadarida,,teniotis,Rafinesque,1814,1,"Pr&iacute;cis Som.","p. 12","European Free-tailed Bat"
Pteropodidae,Rousettus,Rousettus,aegyptiacus,"É. Geoffroy Saint-Hilaire",1810,1,"Ann. Mus. Natn. Hist. Nat. Paris","15: 96","Egyptian Rousette"
Rhinolophidae,Rhinolophus,,euryale,Blasius,1853,0,"Arch. Naturgesch.","19(1): 49","Mediterranean Horseshoe Bat"
Rhinolophidae,Rhinolophus,,ferrumequinum,Schreber,1774,1,"Die S&auml;ugethiere","1: 174, pl. 62","Greater Horseshoe Bat"
Rhinolophidae,Rhinolophus,,hipposideros,André,1797,1,"Der Zoologe","1 (5-8): 65","Lesser Horseshoe Bat"
Rhinolophidae,Rhinolophus,,mehelyi,Matschie,1901,0,"Sitzb. Ges. Naturf. Fr. Berlin","p. 225","Mehely's Horseshoe Bat"
Vespertilionidae,Barbastella,,barbastellus,Schreber,1774,1,"Die S&auml;ugethiere","1: 168","Western Barbastelle"
Vespertilionidae,Cnephaeus,,isabellinus,Temminck,1840,1,"Monographies de Mammalogie","2: 205, pl.52, figs 1, 2","Meridional Serotine"
Vespertilionidae,Cnephaeus,,serotinus,Schreber,1774,1,"Die S&auml;ugethiere","1: 167, pl. LIIL","Common Serotine"
Vespertilionidae,Hypsugo,,savii,Bonaparte,1837,1,"Fauna Ital.","1: fasc. 20","Savi's Pipistrelle"
Vespertilionidae,Myotis,Myotis,alcathoe,"von Helversen & Heller",2001,0,"In von Helversen, Heller, Mayer, Nemeth, Volleth, and Gombk&ouml;t&ouml;, Naturwissenschaften","88: 217","Alcathoe Myotis"
Vespertilionidae,Myotis,Myotis,bechsteinii,Kuhl,1817,1,"Die Deutschen Flederm&auml;use. Hanau","pp. 6, 22","Bechstein's Myotis"
Vespertilionidae,Myotis,Myotis,blythii,Tomes,1857,1,"Proc. Zool. Soc. Lond.","1857: 53","Lesser Mouse-eared Myotis"
Vespertilionidae,Myotis,Pizonyx,brandtii,Eversmann,1845,1,"Bull. Soc. Nat. Moscow","18(1): 505","Brandt's Myotis"
Vespertilionidae,Myotis,Myotis,capaccinii,Bonaparte,1837,1,"Fauna Ital.","1: fasc. 20","Long-fingered Myotis"
Vespertilionidae,Myotis,Myotis,crypticus,"Ruedi, Ibáñez, Salicini, Juste & Puechmaille",2019,0,"Acta Chiropterol.","20(2): 291","Hidden Myotis"
Vespertilionidae,Myotis,Myotis,daubentonii,Kuhl,1817,1,"Die Deutschen Flederm&auml;use. Hanau","p. 6, 51","Daubenton's Myotis"
Vespertilionidae,Myotis,Chrysopteron,emarginatus,"É. Geoffroy Saint-Hilaire",1806,1,"Ann. Mus. Natn. Hist. Nat. Paris","8: 198","Geoffroy's Myotis"
Vespertilionidae,Myotis,Myotis,escalerai,Cabrera,1904,0,"Mem. Soc. Espa&ntilde;ola Hist. Nat.","2: 31","Escalera's Myotis"
Vespertilionidae,Myotis,Myotis,myotis,Borkhausen,1797,1,"Deutsche Fauna","1: 80","Mouse-eared Myotis"
Vespertilionidae,Myotis,Myotis,mystacinus,Kuhl,1817,1,"Die Deutschen Flederm&auml;use. Hanau","p. 7, 58","Whiskered Myotis"
Vespertilionidae,Myotis,Myotis,nattereri,Kuhl,1817,1,"Die Deutschen Flederm&auml;use. Hanau","p. 6, 25","Natterer's Myotis"
Vespertilionidae,Nyctalus,,lasiopterus,Schreber,1780,1,"In Zimmermann, Geogr. Gesch. Mensch. Vierf. Thiere","2: 412","Giant Noctule"
Vespertilionidae,Nyctalus,,leisleri,Kuhl,1817,1,"Die Deutschen Flederm&auml;use. Hanau","p. 6, 38","Leisler's Noctule"
Vespertilionidae,Nyctalus,,noctula,Schreber,1774,1,"Die S&auml;ugethiere","1: 166",Noctule
Vespertilionidae,Pipistrellus,Pipistrellus,kuhlii,Kuhl,1817,1,"Die Deutschen Flederm&auml;use, Hanau","p. 6, 55","Kuhl's Pipistrelle"
Vespertilionidae,Pipistrellus,Pipistrellus,maderensis,Dobson,1878,1,"Cat. Chiroptera Brit. Mus.","p. 231","Madeiran Pipistrelle"
Vespertilionidae,Pipistrellus,Nannugo,nathusii,"Keyserling & Blasius",1839,1,"Arch. Naturgesch.","5(1): 320","Nathusius' Pipistrelle"
Vespertilionidae,Pipistrellus,Pipistrellus,pipistrellus,Schreber,1774,1,"Die S&auml;ugethiere","1: 167","Common Pipistrelle"
Vespertilionidae,Pipistrellus,Pipistrellus,pygmaeus,Leach,1825,1,"Zool. J.","1: 559","Soprano Pipistrelle"
Vespertilionidae,Plecotus,,auritus,Linnaeus,1758,1,"Syst. Nat., 10th ed.","1: 32","Brown Long-eared Bat"
Vespertilionidae,Plecotus,,austriacus,"J. Fischer",1829,1,"Synopsis Mamm.","p. 117","Gray Long-eared Bat"
Vespertilionidae,Plecotus,,macrobullaris,Kuzjakin,1965,0,"<i>In</i> Bobrinskij, Kuznetzov and Kusjakin: Isd. Prosveshtshenije. Moskva",,"Mountain Long-eared Bat"
Vespertilionidae,Plecotus,,teneriffae,Barrett-Hamilton,1907,0,"Ann. Mag. Nat. Hist., ser. 7","20: 520","Canary Long-eared Bat"
