Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Emballonuridae,Saccolaimus,,saccolaimus,Temminck,1838,1,"Tijdschr. Nat. Gesch. Physiol.","5: 14","Naked-rumped Pouched Bat"
Emballonuridae,Taphozous,,longimanus,Hardwicke,1825,0,"Trans. Linn. Soc. Lond.","14: 525","Long-winged Tomb Bat"
Emballonuridae,Taphozous,,melanopogon,Temminck,1841,0,"Monogr. Mamm.","2: 287","Black-bearded Tomb Bat"
Hipposideridae,Hipposideros,,ater,Templeton,1848,0,"J. Asiat. Soc. Bengal","17: 252","Dusky Roundleaf Bat"
Hipposideridae,Hipposideros,,fulvus,Gray,1838,0,"Mag. Zool. Bot.","2: 492","Fulvus Roundleaf Bat"
Hipposideridae,Hipposideros,,galeritus,Cantor,1846,0,"J. Asiat. Soc. Bengal","15: 183","Cantor's Roundleaf Bat"
Hipposideridae,Hipposideros,,lankadiva,Kelaart,1850,0,"J. Sri Lanka Branch Asiat. Soc.","2(2): 216","Indian Roundleaf Bat"
Hipposideridae,Hipposideros,,speoris,Schneider,1800,1,"In Schreber, Die S&auml;ugethiere","pl. 59b","Schneider's Roundleaf Bat"
Hipposideridae,Hipposideros,,srilankaensis,"Kusuminda, B. Srinivasulu, Amarasinghe, A. Srinivasulu, C. Srinivasulu, & Yapa",2025,0,Zootaxa,"5590(4): 520","Sri Lankan Roundleaf Bat"
Megadermatidae,Lyroderma,,lyra,"É. Geoffroy Saint-Hilaire",1810,1,"Ann. Mus. Natn. Hist. Nat. Paris","15: 190","Greater False Vampire Bat"
Megadermatidae,Megaderma,,spasma,Linnaeus,1758,1,"Syst. Nat., 10th ed.","1: 32 (based on Seba, 1734, <i>Locupletissimi rerum naturalium</i>...p. 90)","Lesser False Vampire Bat"
Miniopteridae,Miniopterus,,fuliginosus,Hodgson,1835,1,"J. Asiat. Soc. Bengal","4(48): 700","Eastern Bent-winged Bat"
Miniopteridae,Miniopterus,,phillipsi,"Kusuminda, Mannakkara, Ukuwela, Kruskop, Amarasinghe, Saikia, Venugopal, Karunarathna, Gamage, Ruedi, Csorba, Yapa & Patterson",2022,0,"Acta Chiropterol.","24(1): 4","Phillips' Long-fingered Bat"
Molossidae,Mops,"Unassigned - Mops",plicatus,Buchannan,1800,1,"Trans. Linn. Soc. Lond.","5: 261","Wrinkle-lipped Free-tailed Bat"
Molossidae,Nyctinomus,,aegyptiacus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 128","Egyptian Free-tailed Bat"
Pteropodidae,Cynopterus,,brachyotis,M&uuml;ller,1838,1,"Tijdschr. Nat. Gesch. Physiol.","5: 146","Lesser Short-nosed Fruit Bat"
Pteropodidae,Cynopterus,,sphinx,Vahl,1797,1,"Skr. Nat. Selsk. Copenhagen","4(1): 123","Greater Short-nosed Fruit Bat"
Pteropodidae,Pteropus,,medius,Temminck,1825,0,"Monogr. Mamm.","1: 176","Indian Flying Fox"
Pteropodidae,Rousettus,Rousettus,leschenaultii,Desmarest,1820,1,"Mammalogie, in Encyclop. M&eacute;thod.","1: 110","Leschenault's Rousette"
Rhinolophidae,Rhinolophus,,beddomei,"K. Andersen",1905,0,"Ann. Mag. Nat. Hist.","ser. 7, 16: 253","Bedomme's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,rouxii,Temminck,1835,0,"Monogr. Mamm.","2: 30<i>b</i>","Rufous Horseshoe Bat"
Vespertilionidae,Alionoctula,,ceylonica,Kelaart,1852,1,"Prodr. Faun. Zeylanica","p. 22","Kelaart's Pipistrelle"
Vespertilionidae,Alionoctula,,coromandra,Gray,1838,1,"Mag. Zool. Bot.","2: 498","Indian Pipistrelle"
Vespertilionidae,Alionoctula,,tenuis,Temminck,1840,1,"Monogr. Mamm.","2: 229","Least Pipistrelle"
Vespertilionidae,Hesperoptenus,,tickelli,Blyth,1851,1,"J. Asiat. Soc. Bengal","20: 157","Tickell's Bat"
Vespertilionidae,Hypsugo,,affinis,Dobson,1871,1,"Proc. Asiat. Soc. Bengal","1871: 213","Chocolate Pipistrelle"
Vespertilionidae,Kerivoula,,malpasi,Phillips,1932,0,"Ceylon J. Sci. B","16: 331","Sri Lankan  Woolly Bat"
Vespertilionidae,Kerivoula,,picta,Pallas,1767,1,"Spicil. Zool.","3: 7","Painted Woolly Bat"
Vespertilionidae,Murina,Murina,cyclotis,Dobson,1872,0,"Proc. Asiat. Soc. Bengal","p. 210","Round-eared Tube-nosed Bat"
Vespertilionidae,Myotis,Myotis,hasseltii,Temminck,1840,1,"Monogr. Mamm.","2: 225","Lesser Large-footed Myotis"
Vespertilionidae,Scotophilus,,heathii,Horsfield,1831,1,"Proc. Comm. Zool. Soc. London ","1(1830-1831): 113","Greater Asiatic Yellow House Bat"
Vespertilionidae,Scotophilus,,kuhlii,Leach,1821,0,"Trans. Linn. Soc. Lond.","13(1): 72","Lesser Asiatic Yellow House Bat"
