Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Molossidae,Eumops,,floridanus,"G. M. Allen",1932,1,"J. Mammal.","13: 257","Florida Bonneted Bat"
Molossidae,Eumops,,perotis,Schinz,1821,1,"In Cuvier, Das Thierreich","1: 870","Greater Bonneted Bat"
Molossidae,Eumops,,underwoodi,Goodwin,1940,0,"Am. Mus. Novitates","1075: 2","Underwood's Bonneted Bat"
Molossidae,Molossus,,molossus,Pallas,1766,1,"Misc. Zool.","p. 49-50","Pallas's Mastiff Bat"
Molossidae,Nyctinomops,,femorosaccus,Merriam,1889,1,"N. Am. Fauna","2: 23","Pocketed Free-tailed Bat"
Molossidae,Nyctinomops,,macrotis,Gray,1839,1,"Ann. Nat. Hist.","4: 5","Big Free-tailed Bat"
Molossidae,Tadarida,,brasiliensis,"I. Geoffroy Saint-Hilaire",1824,1,"Ann. Sci. Nat. Zool.","1: 343","Brazilian Free-tailed Bat; Mexican Free-tailed Bat"
Mormoopidae,Mormoops,,megalophylla,Peters,1864,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1864: 381","Peters's Ghost-faced Bat"
Phyllostomidae,Choeronycteris,,mexicana,Tschudi,1844,0,"Fauna Peruana","1: 72","Mexican Long-tongued Bat"
Phyllostomidae,Leptonycteris,,nivalis,Saussure,1860,1,"Rev. Mag. Zool. Paris, ser. 2","12: 492","Mexican Long-nosed Bat"
Phyllostomidae,Leptonycteris,,yerbabuenae,"Mart&iacute;nez & Villa-R",1940,0,"Anal. Inst. Biol. Univ. Nac. Auto. Mexico","11: 313","Lesser Long-nosed Bat"
Phyllostomidae,Macrotus,,californicus,Baird,1858,0,"Proc. Acad. Nat. Sci. Phil.","10: 116","Californian Leaf-nosed Bat"
Vespertilionidae,Antrozous,,pallidus,"Le Conte",1856,1,"Proc. Acad. Nat. Sci. Phil.","7: 437","Pallid Bat"
Vespertilionidae,Corynorhinus,,rafinesquii,Lesson,1827,1,"Manuel de Mammalogie","p. 96","Rafinesque's Big-eared Bat"
Vespertilionidae,Corynorhinus,,townsendii,Cooper,1837,1,"Ann. Lyc. Nat. Hist.","4: 73","Townsend's Big-eared Bat"
Vespertilionidae,Eptesicus,,fuscus,"Palisot de Beauvois",1796,1,"Cat. Raisonne Mus. Peale Phil.","p. 18","Big Brown Bat"
Vespertilionidae,Euderma,,maculatum,"J. A. Allen",1891,1,"Bull. Am. Mus. Nat. Hist.","3: 195","Spotted Bat"
Vespertilionidae,Idionycteris,,phyllotis,"G. M. Allen",1916,1,"Bull. Mus. Comp. Zool.","60: 352","Allen's Big-eared Bat"
Vespertilionidae,Lasionycteris,,noctivagans,"Le Conte",1831,1,"In McMurtie, Anim. Kingdom","1(App.): 431","Silver-haired Bat"
Vespertilionidae,Lasiurus,Lasiurus,borealis,M&uuml;ller,1776,1,"Linn&eacute;'s Vollstand. Natursystem, Suppl.","p. 20","Eastern Red Bat"
Vespertilionidae,Lasiurus,Aeorestes,cinereus,"Palisot de Beauvois",1796,1,"Cat. Raisonne Mus. Peale Phil.","p. 18","Hoary Bat"
