"","Crop.type.clean","Crop.clean","n"
"1","Agroforestry cacao","Agroforestry cacao",5
"2","Field crops","Cotton",5
"3","","Sugar cane",1
"4","Grain crops","Corn",1
"5","","Rice",5
"6","","Wheat",2
"7","Pasture & mixed cropping","Multi- crop",5
"8","","Multi- crop & pasture",7
"9","","Multi- grain & vegetable",4
"10","","Pasture",1
"11","Perennial fruit & forestry crops","Apple",6
"12","","Arecanut",1
"13","","Blueberries",1
"14","","Citrus",1
"15","","Date palms",1
"16","","Macadamia",2
"17","","Multi- fruit & orchard",2
"18","","Olive groves",4
"19","","Peach",1
"20","","Pecan",1
"21","","Pine",1
"22","Vegetable crops","Brassica",1
"23","","Melon",1
"24","","Onion",1
"25","","Potato",1
"26","","Pumpkin",1
"27","","Tomato",3
"28","","Watermelon",1
"29","Vineyard","Vineyard",9
"30",NA,NA,5
