"Respondent.clean","Respondent.ID","Respondent.entry.ID","Region.within.country.clean","Country.clean","World.region.clean","Crop.clean","Crop.type.clean","Score.type","Score","Respondent.entry.label","TotalScore.allSteps","MeanScore.allSteps","GeoMeanScore.allSteps"
"AB","R1",1,"Catalonia","Spain","Europe","Tomato","Vegetable crops","Evidence",2,"R1-1",7,1.4,1.31950791077289
"AB","R1",1,"Catalonia","Spain","Europe","Tomato","Vegetable crops","Representativeness",1,"R1-1",7,1.4,1.31950791077289
"AB","R1",1,"Catalonia","Spain","Europe","Tomato","Vegetable crops","Limiting Factors",1,"R1-1",7,1.4,1.31950791077289
"AB","R1",1,"Catalonia","Spain","Europe","Tomato","Vegetable crops","Available Interventions",1,"R1-1",7,1.4,1.31950791077289
"AB","R1",1,"Catalonia","Spain","Europe","Tomato","Vegetable crops","Monitoring Interventions",2,"R1-1",7,1.4,1.31950791077289
"AB","R1",1,"Catalonia","Spain","Europe","Tomato","Vegetable crops","Breadth of Implementation
of Interventions",1,"R1-1",7,1.4,1.31950791077289
"AH","R2",1,"Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Evidence",1,"R2-1",5,1,0
"AH","R2",1,"Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Representativeness",1,"R2-1",5,1,0
"AH","R2",1,"Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Limiting Factors",2,"R2-1",5,1,0
"AH","R2",1,"Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Available Interventions",1,"R2-1",5,1,0
"AH","R2",1,"Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Monitoring Interventions",0,"R2-1",5,1,0
"AH","R2",1,"Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",1,"R2-1",5,1,0
"AMS","R3",1,"Santiago Metropolitan region","Chile","Latin America / Caribbean","Vineyard","Vineyard","Evidence",3,"R3-1",7,1.4,1.24573093961552
"AMS","R3",1,"Santiago Metropolitan region","Chile","Latin America / Caribbean","Vineyard","Vineyard","Representativeness",1,"R3-1",7,1.4,1.24573093961552
"AMS","R3",1,"Santiago Metropolitan region","Chile","Latin America / Caribbean","Vineyard","Vineyard","Limiting Factors",1,"R3-1",7,1.4,1.24573093961552
"AMS","R3",1,"Santiago Metropolitan region","Chile","Latin America / Caribbean","Vineyard","Vineyard","Available Interventions",1,"R3-1",7,1.4,1.24573093961552
"AMS","R3",1,"Santiago Metropolitan region","Chile","Latin America / Caribbean","Vineyard","Vineyard","Monitoring Interventions",1,"R3-1",7,1.4,1.24573093961552
"AMS","R3",1,"Santiago Metropolitan region","Chile","Latin America / Caribbean","Vineyard","Vineyard","Breadth of Implementation
of Interventions",1,"R3-1",7,1.4,1.24573093961552
"AR","R4",1,"Queensland","Australia","Australasia / Pacific","Multi- grain & vegetable","Pasture & mixed cropping","Evidence",2,"R4-1",5,1,0
"AR","R4",1,"Queensland","Australia","Australasia / Pacific","Multi- grain & vegetable","Pasture & mixed cropping","Representativeness",1,"R4-1",5,1,0
