"Respondent.clean","Respondent.ID","Respondent.entry.ID","Region.within.country.clean","Country.clean","World.region.clean","Crop.clean","Crop.type.clean","Score.type","Score","Respondent.entry.label","TotalScore.allSteps","MeanScore.allSteps","GeoMeanScore.allSteps","Country.WB","GDP_per_capita","AgForestryFish_ValueAdded_percentGDP","AllResearchAndDev_percentGPD","EnviroPerformance_score","AgResearchAndDev_PPP2017","Taiwan_imputed_from_China","Exact_latitude","Exact_longitude","Coarse_latitude","Coarse_longitude"
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Evidence",2,"R1-1",7,1.4,1.31950791077289,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Representativeness",1,"R1-1",7,1.4,1.31950791077289,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Limiting Factors",1,"R1-1",7,1.4,1.31950791077289,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Available Interventions",1,"R1-1",7,1.4,1.31950791077289,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Monitoring Interventions",2,"R1-1",7,1.4,1.31950791077289,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Breadth of Implementation
of Interventions",1,"R1-1",7,1.4,1.31950791077289,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203
"AH","R2","1","Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Evidence",1,"R2-1",5,1,0,"South Africa",6034.27208964673,2.53517112309848,0.61479,37.6,243.487133597788,FALSE,-28.2707,29.1324,-28.9742085144411,25.1934382241476
"AH","R2","1","Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Representativeness",1,"R2-1",5,1,0,"South Africa",6034.27208964673,2.53517112309848,0.61479,37.6,243.487133597788,FALSE,-28.2707,29.1324,-28.9742085144411,25.1934382241476
"AH","R2","1","Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Limiting Factors",2,"R2-1",5,1,0,"South Africa",6034.27208964673,2.53517112309848,0.61479,37.6,243.487133597788,FALSE,-28.2707,29.1324,-28.9742085144411,25.1934382241476
"AH","R2","1","Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Available Interventions",1,"R2-1",5,1,0,"South Africa",6034.27208964673,2.53517112309848,0.61479,37.6,243.487133597788,FALSE,-28.2707,29.1324,-28.9742085144411,25.1934382241476
