"Respondent.clean","Respondent.ID","Respondent.entry.ID","Region.within.country.clean","Country.clean","World.region.clean","Crop.clean","Crop.type.clean","Score.type","Score","Respondent.entry.label","TotalScore.allInterventions","MeanScore.allInterventions","Country.WB","GDP_per_capita","AgForestryFish_ValueAdded_percentGDP","AllResearchAndDev_percentGPD","EnviroPerformance_score","AgResearchAndDev_PPP2017","Taiwan_imputed_from_China","Exact_latitude","Exact_longitude","Coarse_latitude","Coarse_longitude","BatRichness"
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Artificial Roost",1,"R1-1",6,1,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203,35
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Agrochemical Reduction",1,"R1-1",6,1,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203,35
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Revegetation",1,"R1-1",6,1,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203,35
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Bat Education",1,"R1-1",6,1,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203,35
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Artificial Water Sources",2,"R1-1",6,1,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203,35
"AB","R1","1","Catalonia","Spain","Europe","Tomato","Vegetable crops","Acoustic Bat Lure",0,"R1-1",6,1,"Spain",33493.2225409111,2.6062235563618,1.49362,66.28,634.407802466939,FALSE,41.3851,2.1734,40.2076539840155,-3.70353625253203,35
"AH","R2","1","Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Artificial Roost",2,"R2-1",4,0.666666666666667,"South Africa",6034.27208964673,2.53517112309848,0.61479,37.6,243.487133597788,FALSE,-28.2707,29.1324,-28.9742085144411,25.1934382241476,60
"AH","R2","1","Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Agrochemical Reduction",0,"R2-1",4,0.666666666666667,"South Africa",6034.27208964673,2.53517112309848,0.61479,37.6,243.487133597788,FALSE,-28.2707,29.1324,-28.9742085144411,25.1934382241476,60
"AH","R2","1","Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Revegetation",0,"R2-1",4,0.666666666666667,"South Africa",6034.27208964673,2.53517112309848,0.61479,37.6,243.487133597788,FALSE,-28.2707,29.1324,-28.9742085144411,25.1934382241476,60
"AH","R2","1","Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Bat Education",1,"R2-1",4,0.666666666666667,"South Africa",6034.27208964673,2.53517112309848,0.61479,37.6,243.487133597788,FALSE,-28.2707,29.1324,-28.9742085144411,25.1934382241476,60
"AH","R2","1","Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Artificial Water Sources",1,"R2-1",4,0.666666666666667,"South Africa",6034.27208964673,2.53517112309848,0.61479,37.6,243.487133597788,FALSE,-28.2707,29.1324,-28.9742085144411,25.1934382241476,60
"AH","R2","1","Free State","South Africa","Africa","Apple","Perennial fruit & forestry crops","Acoustic Bat Lure",0,"R2-1",4,0.666666666666667,"South Africa",6034.27208964673,2.53517112309848,0.61479,37.6,243.487133597788,FALSE,-28.2707,29.1324,-28.9742085144411,25.1934382241476,60
