Respondent.clean,Respondent.ID,Respondent.entry.ID,Region.within.country.clean,Country.clean,World.region.clean,Crop.clean,Crop.type.clean,Closest.city.clean,Latitude,Longitude
Adrià López-Baucells,R1,1,Catalonia,Spain,Europe,Tomato,Vegetable crops,"Multiple (Granollers, Barcelona, Vic, Sant Cugat, etc.)",41.3851,2.1734
Alexandra Howard,R2,1,Free State,South Africa,Africa,Apple,Perennial fruit crops,Harrismith,-28.2707,29.1324
Andrés Muñoz-Sáez,R3,1,Santiago Metropolitan region,Chile,Latin America / Caribbean,Vineyard,Vineyard,Santiago,-33.4489,-70.6693
April Reside,R4,1,Queensland,Australia,Australasia / Pacific,Multi- grain & vegetable,Mixed farming system,Brisbane,-27.5588,152.2782
Ara Monadjem,R5,1,North-east Eswatini,Eswatini,Africa,Sugar cane,Field crops,Simunye,-26.1667,31.9333
Brooke Maslo,R6,1,New Jersey,USA,North America,Multi- fruit & orchard,Perennial fruit crops,"New York City, NY, USA",40.6961929,-74.335573
Carme Tuneu-Corral,R7,1,Multi-region: DIANA & Vatovavy-Fitovinany regions,Madagascar,Africa,Rice,Grain crops,Antsiranana/Ambilobe (DIANA); Ranomafana/Fianarantsoa (Vatovavy-Fitovinany),-12.2787,49.2917
Carme Tuneu-Corral,R7,2,Multi-region: Catalonia & Aragon,Spain,Europe,Rice,Grain crops,Deltebre (Catalonia); Alcolea de Cinca (Aragon),40.7189,0.7079
Carmi Korine,R8,1,Southern Distict,Israel,Middle East / Western Asia,Date palms,Perennial fruit crops,Eilat,31.253,34.7915
Carmi Korine,R8,2,Southern Distict,Israel,Middle East / Western Asia,Onion,Vegetable crops,Eilat,31.253,34.7915
Carmi Korine,R8,3,Southern Distict,Israel,Middle East / Western Asia,Melon,Vegetable crops,Eilat,31.253,34.7915
Carmi Korine,R8,4,Northern District,Israel,Middle East / Western Asia,Apple,Perennial fruit crops,Katzrin,32.9895,35.6944
Carmi Korine,R8,5,Haifa District,Israel,Middle East / Western Asia,Cotton,Field crops,Hadera,32.434,34.9196
Carmi Korine,R8,6,Haifa District,Israel,Middle East / Western Asia,Vineyard,Vineyard,Binyamina,32.434,34.9196
Carmi Korine,R8,7,Haifa District,Israel,Middle East / Western Asia,Vineyard,Vineyard,Binyamina,32.434,34.9196
